Employee ID    Sales Total   Bonus Total
****************************************
1257              23789.83       1189.49
1548              36932.55       1846.63
1234              28503.09       1425.15
1857              28720.76       1436.04
1527              37526.62       1876.33
1259              34492.39       1724.62
1244              35484.74       1774.24
1245              48415.13       2420.76
1856              40202.12       2010.11
1874              39515.39       1975.77
1268              40075.99       2003.80
1877              31480.85       1574.04
1246              29214.54       1460.73
1269              25537.35       1276.87
1544              31507.21       1575.36
1227              31512.42       1575.62
1276              31013.79       1550.69
1247              42001.66       2100.08
1578              28401.37       1420.07
1864              26851.88       1342.59
1837              41345.82       2067.29
1556              30360.92       1518.05
1836              28809.01       1440.45
1228              26620.73       1331.04
1529              32569.30       1628.47
1855              34503.03       1725.15
1835              41020.50       2051.03
1264              35978.65       1798.93
1539              28999.01       1449.95
1279              45934.35       2296.72
1557              34666.36       1733.32
1875              35686.21       1784.31
1579              36286.96       1814.35
1834              37740.66       1887.03
1829              29921.24       1496.06
1528              32675.76       1633.79
1255              24920.83       1246.04
1844              40078.82       2003.94
1235              36377.75       1818.89
1839              31513.96       1575.70
1848              35318.77       1765.94
1868              37894.19       1894.71
1545              31485.49       1574.27
1826              34399.80       1719.99
1859              30571.96       1528.60
1275              26952.41       1347.62
1867              35123.11       1756.16
1565              37803.54       1890.18
1577              33088.64       1654.43
1559              43236.19       2161.81
1265              27034.15       1351.71
1849              20638.37       1031.92
1546              30215.62       1510.78
1237              41453.18       2072.66
1878              35892.76       1794.64
1865              34273.67       1713.68
1537              29022.10       1451.11
1525              31389.32       1569.47
1538              27858.46       1392.92
1278              37080.09       1854.00
1239              39386.13       1969.31
1555              34977.48       1748.87
1226              42613.26       2130.66
1526              33654.59       1682.73
1567              32065.79       1603.29
1554              36776.30       1838.81
1534              29666.15       1483.31
1558              33801.37       1690.07
1566              38054.94       1902.75
1248              29554.38       1477.72
1846              38611.29       1930.56
1838              32177.15       1608.86
1828              28494.56       1424.73
1866              31330.83       1566.54
1249              48347.89       2417.39
1845              34449.96       1722.50
1267              32813.28       1640.66
1569              28043.87       1402.19
1876              53026.72       2651.34
1254              33651.09       1682.55
1535              34587.98       1729.40
1258              33250.68       1662.53
1564              37131.05       1856.55
1256              33004.11       1650.21
1824              32582.89       1629.14
1576              39368.11       1968.41
1225              39619.58       1980.98
1575              25118.61       1255.93
1825              39655.76       1982.79
1547              37306.42       1865.32
1229              37597.71       1879.89
1266              35777.89       1788.89
1277              41711.80       2085.59
1236              25247.64       1262.38
1858              18564.31        928.22
1568              30496.19       1524.81
1869              42470.20       2123.51
1536              24599.28       1229.96
1574              34568.46       1728.42
1274              32635.28       1631.76
1549              37801.08       1890.05
1238              29167.84       1458.39
1827              31414.41       1570.72
1847              22245.53       1112.28
1879              30441.51       1522.08
1854              19628.68        981.43
1524              34162.41       1708.12
1224              26325.32       1316.27
****************************************
Number of employees: 108
Sales Total: 3635899.13
Sales Total: 181794.96
